"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT2G04400",11746.4992296794,-1.73640906552043,0.169260488502285,-10.2587974363373,1.0804383112146e-24,4.88969685524403e-22
"AT1G06620",5259.29673858467,-3.88955064981401,0.380167930188589,-10.2311382443136,1.43818940912492e-24,6.38822429023523e-22
"AT5G13080",2407.39408114524,-2.6898022218471,0.262969270706903,-10.2285799957405,1.47668690546644e-24,6.4399658390033e-22
"AT5G10300",1704.5781267413,-2.5912943212061,0.255517104947544,-10.141373203716,3.61974953799489e-24,1.55041629318474e-21
"AT4G31500",37970.3573243712,-1.86363661151069,0.183926753702337,-10.1324933648683,3.96410015766723e-24,1.66812116459309e-21
"AT2G17700",1739.33267809272,-1.06229888398174,0.105542686336131,-10.0651112915446,7.87981612409968e-24,3.25871154401129e-21
"AT1G53903",38.1101555166004,-4.7684658401475,0.476154569262468,-10.0145334056828,1.31581319006766e-23,5.34933816558692e-21
"AT3G57520",80447.017971239,-1.78595250898475,0.179261025993548,-9.96286001982958,2.21594509506226e-23,8.85860984169391e-21
"AT4G36540",622.608612038568,2.36092252705681,0.237591331109106,9.93690517257394,2.8762432517075e-23,1.13097656779436e-20
"AT2G36430",275.635447048192,1.72234770330289,0.173628425077807,9.9197334913973,3.41667235538029e-23,1.32181134058309e-20
"AT4G04610",13586.545305141,-1.85577249369499,0.189448075226247,-9.79567879736304,1.1750548037908e-22,4.47378801963907e-20
"AT3G50280",374.443316471062,-4.07259489930434,0.415878888068856,-9.7927425895927,1.20969283039037e-22,4.53370191089741e-20
"AT4G27820",1708.3886232312,0.863604500383422,0.0888374695984141,9.72117400785174,2.44940886562835e-22,9.0386955463018e-20
"AT5G36220",6128.47393470715,-2.02119426759756,0.208523516709689,-9.69288404248194,3.23268739196253e-22,1.17483696641838e-19
"AT1G61800",5360.62932213702,-2.06649885700044,0.21345894795936,-9.68101303204155,3.63100077496028e-22,1.29989827743578e-19
"AT3G63050",102.316457218467,-2.9216983110626,0.301866684231516,-9.67877034360576,3.71153030234635e-22,1.3091877328247e-19
"AT4G21680",7874.2650215888,-4.26540546662239,0.440981775533862,-9.6725209595308,3.94537446638111e-22,1.37150365145822e-19
"AT2G45220",17740.7193376218,-4.21704525140276,0.436302095397163,-9.66542516272815,4.22860390362225e-22,1.44896133188976e-19
"AT2G34600",704.072608572665,-5.05295970902196,0.523715550899565,-9.64829037507612,4.99820227931147e-22,1.68854760382486e-19
"AT5G07010",17511.4987029505,-7.37763736350814,0.764894339640932,-9.64530260084218,5.14591988799838e-22,1.71430603379902e-19
"AT2G30020",1019.85377466307,-1.05779747094333,0.111066181292992,-9.52402845428585,1.66592862385696e-21,5.473830681073e-19
"AT2G22860",314.359283768129,-2.49948772501786,0.262778725331871,-9.51175831247824,1.87466646923251e-21,6.07645269337987e-19
"AT5G14700",1525.34915574971,-2.28335018555389,0.24015553842851,-9.50779732374818,1.94742241740683e-21,6.22811654718935e-19
"AT3G44860",32996.5546176684,-4.32557480991961,0.455693408235157,-9.49229181671075,2.2600964874202e-21,7.13298346674486e-19
"AT5G43380",562.617179340741,-1.21409590252329,0.128451133266536,-9.45181153056896,3.33016607499207e-21,1.03736835681506e-18
"AT2G44578",117.404851374952,-5.10422512382234,0.54014664749357,-9.44970249747425,3.39795084189553e-21,1.04491344735521e-18
"AT1G32690",414.238008704383,-1.32952844699447,0.141689467859815,-9.38339643077691,6.38810608548624e-21,1.93955838691738e-18
"AT5G04310",1004.64642451561,-1.81374881611034,0.194011288774149,-9.34867670623922,8.87511209922456e-21,2.66098048515e-18
"AT5G49730",1674.3034003953,3.9303539328201,0.421542472095902,9.32374361539051,1.12306212979886e-20,3.32565040066116e-18
"AT3G02140",1599.78337548889,-1.35229023982852,0.145128639821898,-9.31787303655605,1.18695789814252e-20,3.47199660303005e-18
"AT2G27313",76.7428639113498,-5.28067674985647,0.567413808199768,-9.30657074879875,1.32026207653166e-20,3.81539833345645e-18
"AT3G56200",6833.08038123019,-2.43622814071414,0.261855118910657,-9.3037254755572,1.35608929107556e-20,3.87228068282599e-18
"AT1G26730",326.00694006754,-1.74559373507262,0.18769126225914,-9.30034629242635,1.39988997401061e-20,3.95032481371982e-18
"AT4G30530",25623.5791315941,-1.96074750161155,0.21090545818114,-9.29680776648054,1.44725565558418e-20,4.03649699474908e-18
"AT5G45410",5579.20282833359,-0.897451319139654,0.0965901078812001,-9.29133778630275,1.52361096376587e-20,4.2006129398722e-18
"AT3G21250",6749.9233908513,1.23782870417356,0.133419499013933,9.27771962360828,1.73144431320242e-20,4.71936628369014e-18
"AT5G58680",261.013612852157,-1.70864968316022,0.185001429276543,-9.23587287861493,2.56188556650312e-20,6.90442552788133e-18
"AT1G72160",1870.64607782138,1.07116094936455,0.116155483037852,9.22178550121038,2.92193505070435e-20,7.7411719848295e-18
"AT5G44430",5553.93222419999,-4.96719036141511,0.538668517961501,-9.22123754366153,2.93690757366582e-20,7.7411719848295e-18
"AT1G61120",6474.41210038936,-5.14474128749123,0.559745903849195,-9.19120846104005,3.88452477308185e-20,1.01276316529501e-17
"AT4G01895",668.748861503139,-2.40944258405327,0.262222963067465,-9.18852626737104,3.98260045351712e-20,1.02716832772109e-17
"AT3G53960",1520.7168315332,-1.84378696510801,0.20180469399051,-9.13649196482377,6.45110182267498e-20,1.64612902466683e-17
"AT5G63970",2500.38739066536,-2.00406925518036,0.219428635950177,-9.13312543051762,6.65496891794984e-20,1.68027457332574e-17
"AT3G23250",634.640042887318,-3.08667991851052,0.338203391144414,-9.12669712762431,7.06209498627342e-20,1.76449385771619e-17
"AT3G22275",175.763927464829,-4.7672908985212,0.522571451814731,-9.1227541840754,7.32389533471997e-20,1.81104075771746e-17
"AT2G18300",669.13208070229,2.90450112551228,0.318479426536723,9.11990189475353,7.519236522824e-20,1.84037150241282e-17
"AT1G19670",31763.5769436561,-4.22083932435003,0.462980196946351,-9.11667356873826,7.74654870847419e-20,1.87685573051982e-17
"AT2G44840",325.732986197113,-3.81751328796092,0.419535742584333,-9.09937557273452,9.08526566553141e-20,2.17919182253436e-17
"AT1G53890",126.743944707074,-2.02439403056218,0.223167853792921,-9.07117219687309,1.17743402399448e-19,2.76881691171878e-17
"AT4G39980",16688.3969952873,-1.54050408789479,0.169808435577002,-9.07201154442198,1.16839719940653e-19,2.76881691171878e-17
"AT5G10625",1121.6468525173,-3.60355330691165,0.397345306090139,-9.06907229475153,1.20034628777568e-19,2.7952918503483e-17
"AT3G25570",1337.25573724804,-1.04352382666069,0.115195523206444,-9.05871858223663,1.31991996953592e-19,3.04419234512389e-17
"AT5G42650",24744.1592399732,-3.04839502412898,0.336560591809471,-9.05749246440207,1.33483762737709e-19,3.04927765050161e-17
"AT1G76470",1395.8658233877,-3.97311451670288,0.439477960614946,-9.0405318872952,1.55911322987162e-19,3.49503644221501e-17
"AT4G12500",2159.66714738744,-3.63036803112017,0.401555676418159,-9.04075883947832,1.55587937345038e-19,3.49503644221501e-17
"AT2G39030",36355.7552133513,-6.09564754526415,0.678197832193665,-8.98800800578714,2.51751704240301e-19,5.59121886843321e-17
"AT4G21920",408.042788274429,-1.80053278410906,0.20052386503427,-8.97914462102226,2.72879895661503e-19,6.00485979572184e-17
"AT2G26020",891.926187875826,-4.19982900407377,0.467958794344863,-8.9747837947003,2.83908824882809e-19,6.1907609760355e-17
"AT2G24200",22392.2955050548,-1.02853311812775,0.114691267310937,-8.96784159982569,3.02381491515719e-19,6.53416437432075e-17
"AT3G04420",682.387998678396,-1.94484515720649,0.21707319414363,-8.95939807252134,3.26455574727721e-19,6.99139590662421e-17
"AT1G73500",6264.82723709076,-1.55348745263416,0.173811333336924,-8.93777996411086,3.9706673841179e-19,8.42835644915505e-17
"AT1G53870",82.7447273146816,-2.06904816276452,0.233001238969844,-8.8799878142807,6.68676872490869e-19,1.40691960206719e-16
"AT2G14750",6352.26887699821,-1.1998607299325,0.135634576819085,-8.84627473371278,9.0489322332633e-19,1.88737120475699e-16
"AT5G13220",7750.49742777076,-5.14178498893431,0.581428214074158,-8.8433702810963,9.28738110450056e-19,1.92040623424613e-16
"AT4G21850",13668.1169342469,-4.22751517106153,0.479192859253942,-8.82215811321431,1.12274566622389e-18,2.30172457692702e-16
"AT5G36880",10161.1986792992,-0.820230967905898,0.0929867036285112,-8.82094897333689,1.13493731028683e-18,2.30700053597796e-16
"AT1G58200",3504.89803164278,-1.11422528397927,0.126468227996882,-8.81031782944521,1.24791532333898e-18,2.51533587778226e-16
"AT1G64780",2146.79370105805,3.68781701128108,0.421811964908641,8.74279849335193,2.27406068529285e-18,4.54546829978619e-16
"AT5G50760",3037.23706367624,-3.04301966800012,0.35126100844782,-8.66312968082299,4.5898576640171e-18,9.09853933298464e-16
"AT1G25220",11606.883957532,-2.03623234291532,0.23523911704219,-8.65601082217172,4.88562274357142e-18,9.6054546825659e-16
"AT4G13810",303.097889688183,2.20287149483816,0.255431581868996,8.62411561921877,6.45898392166108e-18,1.25955437678831e-15
"AT3G22240",1240.57096156689,-2.32624318952431,0.269986152728844,-8.61615740663792,6.923855612901e-18,1.33931936073422e-15
"AT4G35630",17224.4777137749,-2.09213555608911,0.243455966708574,-8.59348647056768,8.43694304373988e-18,1.61894812677716e-15
"AT5G57780",110.035121280218,2.33777119800827,0.272579464311754,8.57647586882966,9.7824183786855e-18,1.85615449707069e-15
"AT4G26150",867.122572563858,1.73611319722991,0.202439935217545,8.57594226832888,9.82788381255638e-18,1.85615449707069e-15
"AT1G75450",801.477965356678,-2.53560597991688,0.295723571959447,-8.57424372063444,9.97400154698744e-18,1.86903438364094e-15
"AT4G13400",491.700437248503,-0.801765003530914,0.0936245993446453,-8.56361478866793,1.09382863161707e-17,2.03384291147031e-15
"AT5G60310",56.6490063921505,-2.31579976012922,0.270567997034645,-8.55903057830116,1.13820527833552e-17,2.10007629278122e-15
"AT5G23210",940.219281320706,1.24346704656257,0.145741756657,8.5319888759749,1.43852891650006e-17,2.63393546497484e-15
"AT4G37470",1115.75514439346,1.33293761250672,0.156315964850877,8.52720074867797,1.49931551306835e-17,2.7244380224589e-15
"AT5G53470",1284.01162328154,-0.665877665267057,0.0782592645915725,-8.50861132853992,1.76028833051892e-17,3.17460721021255e-15
"AT1G02460",671.390001953292,-2.86506062884875,0.337071776141572,-8.4998532408878,1.89830539907028e-17,3.3979666643358e-15
"AT3G53160",994.605615262474,-2.13439542263434,0.251511921853147,-8.4862594461052,2.13394729192477e-17,3.79147109215611e-15
"AT4G13420",880.402664136281,-3.58153967175258,0.422750214204712,-8.47199966176307,2.41215837381036e-17,4.25426696722171e-15
"AT3G60490",80.6363212528174,-2.47634336543159,0.292710752021171,-8.46003554134041,2.67296047577824e-17,4.67982700525671e-15
"AT3G01990",414.391208294853,-1.42041423162097,0.167930676535746,-8.45833686210756,2.71217703712508e-17,4.71407814583204e-15
"AT3G49620",30447.1688132009,-3.23753214754183,0.383313490742575,-8.44617323869796,3.01006919262236e-17,5.19421004706762e-15
"AT1G73600",3403.0840117508,3.18073146353486,0.37719294434916,8.43263775525589,3.37959600515617e-17,5.79021355569113e-15
"AT1G61890",3489.48445578333,-1.67901733353629,0.199195268396367,-8.42900208952407,3.48625361344665e-17,5.93058717532847e-15
"AT5G67210",348.097865124296,-2.34332824308072,0.27894191663641,-8.40077486860877,4.43542030348804e-17,7.4921120703848e-15
"AT1G51620",278.34505377001,-2.46688612063569,0.293834133013093,-8.39550563897819,4.63893535651902e-17,7.68598397669841e-15
"AT1G34060",134.101485063102,2.29105265988845,0.272880521831996,8.39580870231177,4.62698438758944e-17,7.68598397669841e-15
"AT3G26200",2389.68464831291,-1.96962596553228,0.234610031630756,-8.39531861379312,4.64632567589956e-17,7.68598397669841e-15
"AT1G52890",5679.00015542696,-3.30474179583173,0.39401534005141,-8.38734297857676,4.97252683098196e-17,8.16924853205022e-15
"AT5G19110",873.486333940693,-4.71676529185577,0.562466992735657,-8.3858525971719,5.03594069298579e-17,8.21714785455491e-15
"AT2G22330",8755.55218222435,-2.86293629170297,0.342914772869316,-8.34882751695866,6.89439329249341e-17,1.11735755076856e-14
"AT5G07350",12333.1667222735,-0.923375173510418,0.110704436823195,-8.34090484544115,7.37242038133394e-17,1.18681124340051e-14
"AT2G39530",487.678002306138,-4.75470640562398,0.57054111508119,-8.3336788181293,7.83683426531847e-17,1.25316204458619e-14
"AT5G44420",10036.8906409723,-4.62272215670539,0.556074116797844,-8.31314031180838,9.3202210124593e-17,1.48049550466787e-14
"AT5G05590",1683.07557441058,-2.63646839614173,0.317281034911913,-8.30956819361641,9.60509456800298e-17,1.51570919939552e-14
"AT1G25500",625.327488674114,-1.36531347283493,0.164769134109517,-8.28622108269045,1.16903390158493e-16,1.83270896492915e-14
"AT2G17720",5465.73802425578,-1.71555416742551,0.207315016163732,-8.27510808995432,1.28339142954048e-16,1.9989238200622e-14
"AT3G16330",2691.33112672098,-2.69761518896893,0.326520737865537,-8.26169635228444,1.43616663574957e-16,2.22244470484447e-14
"AT4G24340",2666.4765365871,-5.19807467893777,0.629476145333624,-8.25777865844747,1.48408431246454e-16,2.28187476402401e-14
"AT1G64160",293.179256338837,-4.86900415447723,0.590093904566942,-8.2512361452886,1.56764431901533e-16,2.39500105961157e-14
"AT4G11170",1635.42057939395,-3.46951875578459,0.420833399520965,-8.24439970718566,1.65991415053082e-16,2.519917773078e-14
"AT4G29905",744.001447967643,2.68626543802156,0.326052029671225,8.23876312234664,1.74000046434914e-16,2.62488371936342e-14
